wp_number,date,title,author,abstract,program,topics,year,Economics_of_Aging,Asset_Pricing,Children_and_Families,Corporate_Finance,Development_Economics,Development_of_the_American_Economy,Economic_Fluctuations_and_Growth,Economics_of_Education,Economics_of_Health,Environment_and_Energy_Economics,Industrial_Organization,International_Finance_and_Macroeconomics,International_Trade_and_Investment,Labor_Studies,Law_and_Economics,Monetary_Economics,Political_Economy,Public_Economics,Entrepreneurship
32000,2024-01-01,An IV Hazard Model of Loan Default with an Application to Subprime Mortgage Cohorts,Christopher Palmer,"This paper develops a control-function methodology accounting for endogenous or mismeasured regressors in hazard models. I provide sufficient identifying assumptions and regularity conditions for the estimator to be consistent and asymptotically normal. Applying my estimator to the subprime mortgage crisis, I quantify what caused the foreclosure rate to triple across the 2003-2007 subprime cohorts. To identify the elasticity of default with respect to housing prices, I use various home-price instruments including historical variation in home-price cyclicality. Loose credit played a significant role in the crisis, but much of the increase in defaults across cohorts was caused by home-price declines unrelated to lending standards, with a 10% decline in home prices increasing subprime mortgage default rates by 50%.","Asset Pricing
Corporate Finance
Economic Fluctuations and Growth
Law and Economics
Labor Studies
Public Economics
Technical Working Papers","Econometrics, Estimation Methods, Financial Economics, Financial Institutions, Regional and Urban Economics, Real Estate",2024,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
32001,2024-01-01,Asset Demand of U.S. Households,"Xavier Gabaix, Ralph S. J. Koijen, Federico Mainardi, Sangmin Oh, Motohiro Yogo","We use novel monthly security-level data on U.S. household portfolio holdings, flows, and returns to analyze asset demand across an extensive range of asset classes, including both public and private assets. Our dataset covers a broad range of households across the wealth distribution, notably including 439 billionaires. This ensures representation of ultra-high-net-worth (UHNW) households that are typically not well covered in survey data. With these data, we study the portfolio rebalancing behavior of households and ask whether (and, if so, which) households play an important stabilizing role in financial markets. Our findings reveal a stark contrast: less affluent households sell U.S. equities amid market downturns, while UHNW households buy and contribute to stabilizing markets. This behavior is more pronounced among households who rebalance their portfolios more frequently. However, the sensitivity of flows to returns is generally quite small and as the trades of different wealth groups partly offset each other, the aggregate household sector plays a limited role to absorb financial fluctuations. To understand the contrasting trading behavior across households, we show that a household’s flows to U.S. equities are negatively correlated with its “active returns” (the difference between an investor’s return and the market return). However, the flows to U.S. equities of less affluent households are also positively correlated with broad market returns – perhaps due to shifts in risk aversion, sentiment, or perceived macroeconomic risk – leading this group of households to act pro-cyclically. Across all asset classes, three factors with intuitive economic interpretations explain 81% of all variation in portfolio rebalancing. Those factors bet on the long-term equity premium, the credit premium, and the premium on municipal bonds. In sum, our framework paints a quantitative picture of U.S. households’ assets and rebalancing marked by a great deal of insensitivity and inertia throughout the distribution, even for UHNW households. These new facts are useful for the calibration of macro-finance models with heterogeneous households and multiple risky asset classes.",Asset Pricing,Financial Economics,2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32002,2024-01-01,Organized Crime and Economic Growth: Evidence from Municipalities Infiltrated by the Mafia,"Alessandra Fenizia, Raffaele Saggio","This paper studies the long-run economic impact of dismissing city councils infiltrated by organized crime. Applying a matched difference-in-differences design to the universe of Italian social security records, we find that city council dismissals (CCDs) increase employment, the number of firms, and industrial real estate prices. The effects are concentrated in Mafia-dominated sectors and in municipalities where fewer incumbents are re-elected. The dismissals generate large economic returns by weakening the Mafia and fostering trust in local institutions. The analysis suggests that CCDs represent an effective intervention for establishing legitimacy and spurring economic activity in areas dominated by organized crime.",Labor Studies,"Public Economics, National Fiscal Issues, Labor Economics, Other, Economic Systems",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32003,2024-01-01,Valuing Technology Complementarities: Rooftop Solar and Energy Storage,"Bryan Bollinger, Naim Darghouth, Kenneth Gillingham, Andres Gonzalez-Lira","Product complementarities can shape market patterns, influencing the demand for related products and their accessories. This study examines complementarities in the demand for rooftop solar and an accessory, battery energy storage. Using nationwide administrative data, we estimate a dynamic nested-logit model of solar and storage adoption. We quantify the demand complementarity between solar and storage, and find that if storage was not available, 20% of households who coadopt solar and storage would not adopt anything. We find that the demand for solar and storage bundles increases with power outages, with a larger effect in California.","Environment and Energy Economics
Industrial Organization","Econometrics, Estimation Methods, Industrial Organization, Industry Studies, Environmental and Resource Economics, Energy, Environment",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32004,2024-01-29,Universal Portfolio Shrinkage,"Bryan T. Kelly, Semyon Malamud, Mohammad Pourmohammadi, Fabio Trojani","We introduce a novel shrinkage methodology for building optimal portfolios in environments of high complexity, where the number of assets is comparable to or larger than the number of observations. Our universal portfolio shrinkage approximator (UPSA) is given in closed form, is easy to implement, and improves upon existing shrinkage methods. It exhibits an explicit two-fund separation, complementing the Markowitz portfolio with an optimal complexity correction. UPSA does not annihilate the low-variance principal components (PCs) of returns; instead, it optimally reweighs them and produces a stochastic discount factor that substantially improves on its feasible PC-sparse counterparts.",Asset Pricing,"Econometrics, Estimation Methods, Financial Economics, Financial Markets, Portfolio Selection and Asset Pricing",2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32005,2024-01-01,Migration Policy and the Supply of Foreign Physicians: Evidence from the Conrad 30 Waiver Program,"Breno Braga, Gaurav Khanna, Sarah Turner","In the United States, rural and low-income communities have difficulty attracting and retaining physicians, potentially adversely impacting health outcomes. With a limited supply of physicians completing medical school at US universities, foreign-born and educated physicians provide a potential source of supply in underserved areas. For international medical school graduates (IMGs) the terms of the commonly used J-1 visa require a return to the home country for two years following employment in medical residency. Our analysis examines the extent to which the Conrad 30 Visa Waiver impacts the supply of physicians at state and local levels, particularly in areas designated as medically underserved. Changes in the federal limit on the number of waivers per state, combined with variation in the state-level restrictions on eligible specialties, and geographies in which physicians can work, provide evidence on the role of visa restrictions in limiting the supply of doctors. Expansion of the cap on visa waivers increased the supply of IMGs, particularly in states that did not limit waiver recipients to primary care physicians or particular places of employment. There is little evidence of reductions in US-trained doctors in states where IMG increases were the largest, suggesting little evidence for crowding out.","Economics of Education
Labor Studies","Health, Education, and Welfare, Education, Labor Economics, Unemployment and Immigration",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32006,2024-01-01,"Wellbeing, Expectations and Unemployment in Europe","David G. Blanchflower, Alex Bryson","We find expectations are more sensitive to economic growth than traditional wellbeing metrics. We examine Eurobarometer micro data from 1973-2023 on movements in life satisfaction along with data from 1995-2022 on five expectations variables on and individual’s life and their financial and job situations plus their views on the economic and employment situation of their country in the year ahead. These expectations start to decline several months before the onset of downturns with especially large drops for the Great Recession and Covid. Annual GDP growth is positively associated with these expectations variables while it is uncorrelated with life satisfaction. The unemployment rate and the CPI reduce both. We analyze data for 29 European countries to predict changes in the unemployment rate 12 months ahead using individuals’ fears of unemployment in the presence of country and year fixed effects and lagged unemployment. We also use firms' expectations of future employment, which are also predictive of what happens to unemployment three months later. Using our preferred model specification, we present out-of-sample predictions that track actual movements in unemployment rates closely over a period in which there were two major recessions and unemployment shifted by a factor of two.","International Finance and Macroeconomics
Labor Studies","Labor Economics, Unemployment and Immigration",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32007,2024-01-01,The Informational Centrality of Banks,"Nathan Foley-Fisher, Gary B. Gorton, Stéphane Verani","The equity and debt prices of large nonbank firms contain information about the future state of the banking system. In this sense, banks are informationally central. The amount of this information varies over time and over equity and debt. During a financial crisis banks are, by definition of a crisis, at risk of failure. Debt prices became about 50 percent more informative than equity prices about the future state of the banking system during the financial crisis of 2007-2009. This was partly due to investors’ fears that banks might not be able to refinance their debt.","Asset Pricing
Monetary Economics","Financial Economics, Financial Institutions",2024,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32008,2024-01-01,What Drives the Exchange Rate?,"Oleg Itskhoki, Dmitry Mukhin","We use a general open-economy wedge-accounting framework to characterize the set of shocks that can account for major exchange rate puzzles. Focusing on a near-autarky behavior of the economy, we show analytically that all standard macroeconomic shocks — including productivity, monetary, government spending, and markup shocks — are inconsistent with the broad properties of the macro exchange rate disconnect. News shocks about future macroeconomic fundamentals can generate plausible exchange rate properties. However, they show up prominently in contemporaneous asset prices, which violates the finance exchange rate disconnect. International shocks to trade costs, terms of trade and import demand, while potentially consistent with disconnect, do not robustly generate the empirical Backus-Smith, UIP and terms-of-trade properties. In contrast, the observed exchange rate behavior is consistent with risk-sharing (financial) shocks that arise from shifts in demand of foreign investors for home-currency assets, or vice versa.","Economic Fluctuations and Growth
International Finance and Macroeconomics
International Trade and Investment","International Economics, International Finance, International Macroeconomics",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32009,2024-01-01,Financial Integration and Monetary Policy Coordination,"Javier Bianchi, Louphou Coulibaly","Financial integration generates macroeconomic spillovers that may require international monetary policy coordination. We show that individual central banks may set nominal interest rates too low or too high relative to the cooperative outcome. We identify three sufficient statistics that determine whether the Nash equilibrium exhibits under-tightening or over-tightening: the output gap, sectoral differences in labor intensity, and the trade balance response to changes in nominal rates. We find that, independently of the shocks hitting the economy, under-tightening is possible during economic expansions or contractions. For large shocks, the gains from coordination can be substantial.","Economic Fluctuations and Growth
International Finance and Macroeconomics
Monetary Economics","Macroeconomics, Consumption and Investment, Money and Interest Rates, Monetary Policy, Fiscal Policy, International Economics, International Finance",2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
