Country Name,Country Code,2010 [YR2010] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],,,,,,,,,,,
Afghanistan,AFG,542.8710305,,,,,,,,,,,
Albania,ALB,3579.824132,,,,,,,,,,,
Algeria,DZA,4456.610274,,,,,,,,,,,
American Samoa,ASM,12446.30863,,,,,,,,,,,
Andorra,AND,36277.26444,,,,,,,,,,,
Angola,AGO,3114.696086,,,,,,,,,,,
Antigua and Barbuda,ATG,16135.39738,,,,,,,,,,,
Argentina,ARG,13387.15537,,,,,,,,,,,
Armenia,ARM,2796.081434,,,,,,,,,,,
Aruba,ABW,27324.55543,,,,,,,,,,,
Australia,AUS,53578.8125,,,,,,,,,,,
Austria,AUT,43035.40735,,,,,,,,,,,
Azerbaijan,AZE,5300.110494,,,,,,,,,,,
"Bahamas, The",BHS,30657.53199,,,,,,,,,,,
Bahrain,BHR,22224.07362,,,,,,,,,,,
Bangladesh,BGD,943.6642286,,,,,,,,,,,
Barbados,BRB,19763.95236,,,,,,,,,,,
Belarus,BLR,5616.094117,,,,,,,,,,,
Belgium,BEL,39991.56462,,,,,,,,,,,
Belize,BLZ,5919.556621,,,,,,,,,,,
Benin,BEN,928.2466553,,,,,,,,,,,
Bermuda,BMU,118382.909,,,,,,,,,,,
Bhutan,BTN,2378.728108,,,,,,,,,,,
Bolivia,BOL,2481.407009,,,,,,,,,,,
Bosnia and Herzegovina,BIH,3980.041283,,,,,,,,,,,
Botswana,BWA,5584.503433,,,,,,,,,,,
Brazil,BRA,8792.634361,,,,,,,,,,,
British Virgin Islands,VGB,..,,,,,,,,,,,
Brunei Darussalam,BRN,33121.31767,,,,,,,,,,,
Bulgaria,BGR,6428.717474,,,,,,,,,,,
Burkina Faso,BFA,561.8472213,,,,,,,,,,,
Burundi,BDI,289.8569506,,,,,,,,,,,
Cabo Verde,CPV,3194.616677,,,,,,,,,,,
Cambodia,KHM,1155.852369,,,,,,,,,,,
Cameroon,CMR,1290.901375,,,,,,,,,,,
Canada,CAN,41164.33991,,,,,,,,,,,
Cayman Islands,CYM,79483.09728,,,,,,,,,,,
Central African Republic,CAF,519.1414564,,,,,,,,,,,
Chad,TCD,956.7241538,,,,,,,,,,,
Channel Islands,CHI,64727.43331,,,,,,,,,,,
Chile,CHL,11649.28971,,,,,,,,,,,
China,CHN,5764.86535,,,,,,,,,,,
Colombia,COL,5214.245476,,,,,,,,,,,
Comoros,COM,1135.359079,,,,,,,,,,,
"Congo, Dem. Rep.",COD,380.5780383,,,,,,,,,,,
"Congo, Rep.",COG,2332.285081,,,,,,,,,,,
Costa Rica,CRI,10285.08567,,,,,,,,,,,
Cote d'Ivoire,CIV,1540.529273,,,,,,,,,,,
Croatia,HRV,11965.48548,,,,,,,,,,,
Cuba,CUB,6716.490485,,,,,,,,,,,
Curacao,CUW,20706.43746,,,,,,,,,,,
Cyprus,CYP,26090.04883,,,,,,,,,,,
Czechia,CZE,16665.93178,,,,,,,,,,,
Denmark,DNK,51209.44928,,,,,,,,,,,
Djibouti,DJI,..,,,,,,,,,,,
Dominica,DMA,8574.273087,,,,,,,,,,,
Dominican Republic,DOM,5666.456334,,,,,,,,,,,
Ecuador,ECU,5022.203744,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,3233.845212,,,,,,,,,,,
El Salvador,SLV,3398.493461,,,,,,,,,,,
Equatorial Guinea,GNQ,10984.32439,,,,,,,,,,,
Eritrea,ERI,703.8773744,,,,,,,,,,,
Estonia,EST,14657.93981,,,,,,,,,,,
Eswatini,SWZ,3035.32778,,,,,,,,,,,
Ethiopia,ETH,438.7866165,,,,,,,,,,,
Faroe Islands,FRO,42333.52157,,,,,,,,,,,
Fiji,FJI,4272.359151,,,,,,,,,,,
Finland,FIN,43556.53858,,,,,,,,,,,
France,FRA,35578.1968,,,,,,,,,,,
French Polynesia,PYF,19913.02527,,,,,,,,,,,
Gabon,GAB,6481.496121,,,,,,,,,,,
"Gambia, The",GMB,701.0145246,,,,,,,,,,,
Georgia,GEO,3090.065137,,,,,,,,,,,
Germany,DEU,38517.43979,,,,,,,,,,,
Ghana,GHA,1381.22795,,,,,,,,,,,
Gibraltar,GIB,..,,,,,,,,,,,
Greece,GRC,21547.72418,,,,,,,,,,,
Greenland,GRL,43481.51611,,,,,,,,,,,
Grenada,GRD,7670.711658,,,,,,,,,,,
Guam,GUM,32644.14841,,,,,,,,,,,
Guatemala,GTM,3546.625715,,,,,,,,,,,
Guinea,GIN,675.7369173,,,,,,,,,,,
Guinea-Bissau,GNB,625.9040273,,,,,,,,,,,
Guyana,GUY,4860.09111,,,,,,,,,,,
Haiti,HTI,1317.583893,,,,,,,,,,,
Honduras,HND,2108.473145,,,,,,,,,,,
"Hong Kong SAR, China",HKG,38090.035,,,,,,,,,,,
Hungary,HUN,11287.36867,,,,,,,,,,,
Iceland,ISL,48193.70141,,,,,,,,,,,
India,IND,1235.159391,,,,,,,,,,,
Indonesia,IDN,2670.81291,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,5249.061334,,,,,,,,,,,
Iraq,IRQ,3881.94327,,,,,,,,,,,
Ireland,IRL,47040.35439,,,,,,,,,,,
Isle of Man,IMN,70747.84176,,,,,,,,,,,
Israel,ISR,33344.72133,,,,,,,,,,,
Italy,ITA,31928.55436,,,,,,,,,,,
Jamaica,JAM,4998.667167,,,,,,,,,,,
Japan,JPN,32942.20208,,,,,,,,,,,
Jordan,JOR,4621.574285,,,,,,,,,,,
Kazakhstan,KAZ,8704.706555,,,,,,,,,,,
Kenya,KEN,1340.164674,,,,,,,,,,,
Kiribati,KIR,1328.787764,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,..,,,,,,,,,,,
"Korea, Rep.",KOR,25455.61748,,,,,,,,,,,
Kosovo,XKX,2822.633596,,,,,,,,,,,
Kuwait,KWT,32568.49824,,,,,,,,,,,
Kyrgyz Republic,KGZ,962.7647898,,,,,,,,,,,
Lao PDR,LAO,1564.910683,,,,,,,,,,,
Latvia,LVA,10500.86662,,,,,,,,,,,
Lebanon,LBN,8955.543362,,,,,,,,,,,
Lesotho,LSO,995.2334325,,,,,,,,,,,
Liberia,LBR,621.7832951,,,,,,,,,,,
Libya,LBY,12913.93349,,,,,,,,,,,
Liechtenstein,LIE,..,,,,,,,,,,,
Lithuania,LTU,10884.11619,,,,,,,,,,,
Luxembourg,LUX,106544.0574,,,,,,,,,,,
"Macao SAR, China",MAC,74158.88183,,,,,,,,,,,
Madagascar,MDG,447.417143,,,,,,,,,,,
Malawi,MWI,508.0886506,,,,,,,,,,,
Malaysia,MYS,8118.922705,,,,,,,,,,,
Maldives,MDV,8569.524945,,,,,,,,,,,
Mali,MLI,809.3738876,,,,,,,,,,,
Malta,MLT,20750.60537,,,,,,,,,,,
Marshall Islands,MHL,3441.318884,,,,,,,,,,,
Mauritania,MRT,1460.191797,,,,,,,,,,,
Mauritius,MUS,8011.455172,,,,,,,,,,,
