strata,village_size,classrooms,class_size,hh_size,asset_index,mom_educ,dist_school,mom_caregiver,cg_literacy,cg_vocab,cg_digit_span,male,haz,enrolled,mom_age,health_invest,stim_activities,age_months,chores,receptive,expressive,fine_motor,literacy,enumerator
2011,19,8,23.625,6,4.137461,13,572.31209,1,18,6,7,0,-.4532032,1,40,6,7,76,1,.5598394,.097765,6,-.1941812,2
2021,34,9,38.77778,5,-1.981311,7,704.39812,1,0,4,3,1,-.6618694,1,23,5,11,92,1,-.5076931,-.4350394,6,-.7320419,3
1042,39,8,36.625,3,2.39749,3,140.8259,0,0,6,4,0,-.0838451,1,48,7,9,87,1,-.3381645,-1.341358,5,-.6393582,4
1041,46,9,38.55556,5,-.5251775,8,533.50075,1,19,6,10,0,2.652676,1,24,7,4,80,1,.6270266,.1779695,6,-.3470817,4
2022,40,9,28.55556,5,-1.097254,6,616.8663,1,18,5,5,0,-.6491998,1,23,5,14,72,1,.2888372,-.0812057,4,-.3020378,2
2012,29,9,39.66667,4,-1.141579,7,580.78807,1,20,4,6,1,-.7377896,0,21,5,11,78,0,-.4544629,-.7719855,6,-.3256202,1
1021,44,8,23.75,5,-1.849331,8,549.82979,1,18,6,8,1,-2.202217,0,23,7,9,72,1,-1.067198,-.581739,6,-.3406578,1
1042,39,8,36.625,5,-.7402363,5,133.79851,1,0,3,1,0,.2054187,1,50,7,10,79,1,1.037635,.64002,6,-.4355963,4
1042,28,9,52.44444,7,-1.606218,7,217.4515,1,19,6,7,0,.3970131,1,29,7,5,80,1,1.588351,-.5005698,6,-.3685431,1
2022,47,8,41.375,3,1.862128,13,629.98795,1,20,6,9,0,-.2819936,1,24,5,11,78,1,.1363851,1.101641,6,.077826,4
2022,38,9,25.33333,7,.5879871,7,483.02413,1,0,5,4,0,-.2154018,1,24,5,10,94,1,.0863363,-.3791983,6,-.3395973,1
1021,37,10,25.7,7,4.884184,7,284.69211,1,19,5,9,1,-1.15343,1,32,7,13,88,1,.6318489,.1038649,6,-.4114339,1
1042,23,8,38.625,2,-.6308131,12,637.11002,1,20,6,12,1,-1.151755,1,22,8,8,77,0,-.4665682,-.1385455,6,-.4180927,4
1011,28,7,12,4,-1.509756,6,453.39978,1,0,4,4,1,-1.537502,1,37,7,8,72,1,-.8869325,-.1004807,6,-.3611607,3
1041,46,9,38.55556,10,-2.913654,6,465.99472,0,18,5,4,1,-2.990798,1,28,6,13,89,0,-3.239476,-1.102754,6,-.28211,2
2022,37,8,38,5,2.969173,13,258.49246,0,19,6,3,1,.2186346,1,30,8,11,84,1,-.5280658,.6148099,6,.1104678,4
1032,21,8,46.5,6,-1.612166,0,350.60787,1,0,3,7,1,1.392397,1,28,6,6,92,1,.9500982,-.2127946,6,-.5862786,4
2021,38,9,38.55556,5,-2.453364,5,439.69482,1,0,4,4,1,-1.880391,1,29,5,11,76,1,.4403904,.2333287,6,-.47949,1
2021,34,8,23.25,9,-1.701211,5,256.07298,1,0,5,3,1,-2.980465,0,37,7,11,78,1,.2119055,-1.643932,5,-.5154535,1
