wp_number,date,title,author,abstract,program,topics,Asset_Pricing,Children_and_Families
32000,2024-01-01,An IV Hazard Model of Loan Default with an Application to Subprime Mortgage Cohorts,Christopher Palmer,"This paper develops a control-function methodology accounting for endogenous or mismeasured regressors in hazard models. I provide sufficient identifying assumptions and regularity conditions for the estimator to be consistent and asymptotically normal. Applying my estimator to the subprime mortgage crisis, I quantify what caused the foreclosure rate to triple across the 2003-2007 subprime cohorts. To identify the elasticity of default with respect to housing prices, I use various home-price instruments including historical variation in home-price cyclicality. Loose credit played a significant role in the crisis, but much of the increase in defaults across cohorts was caused by home-price declines unrelated to lending standards, with a 10% decline in home prices increasing subprime mortgage default rates by 50%.",Asset Pricing,"Econometrics, Estimation Methods, Financial Economics, Financial Institutions, Regional and Urban Economics, Real Estate",1,0
32001,2024-01-01,Asset Demand of U.S. Households,"Xavier Gabaix, Ralph S. J. Koijen, Federico Mainardi, Sangmin Oh, Motohiro Yogo","We use novel monthly security-level data on U.S. household portfolio holdings, flows, and returns to analyze asset demand across an extensive range of asset classes, including both public and private assets. Our dataset covers a broad range of households across the wealth distribution, notably including 439 billionaires. This ensures representation of ultra-high-net-worth (UHNW) households that are typically not well covered in survey data. With these data, we study the portfolio rebalancing behavior of households and ask whether (and, if so, which) households play an important stabilizing role in financial markets. Our findings reveal a stark contrast: less affluent households sell U.S. equities amid market downturns, while UHNW households buy and contribute to stabilizing markets. This behavior is more pronounced among households who rebalance their portfolios more frequently. However, the sensitivity of flows to returns is generally quite small and as the trades of different wealth groups partly offset each other, the aggregate household sector plays a limited role to absorb financial fluctuations. To understand the contrasting trading behavior across households, we show that a household’s flows to U.S. equities are negatively correlated with its “active returns” (the difference between an investor’s return and the market return). However, the flows to U.S. equities of less affluent households are also positively correlated with broad market returns – perhaps due to shifts in risk aversion, sentiment, or perceived macroeconomic risk – leading this group of households to act pro-cyclically. Across all asset classes, three factors with intuitive economic interpretations explain 81% of all variation in portfolio rebalancing. Those factors bet on the long-term equity premium, the credit premium, and the premium on municipal bonds. In sum, our framework paints a quantitative picture of U.S. households’ assets and rebalancing marked by a great deal of insensitivity and inertia throughout the distribution, even for UHNW households. These new facts are useful for the calibration of macro-finance models with heterogeneous households and multiple risky asset classes.",Asset Pricing,Financial Economics,1,0
32004,2024-01-29,Universal Portfolio Shrinkage,"Bryan T. Kelly, Semyon Malamud, Mohammad Pourmohammadi, Fabio Trojani","We introduce a novel shrinkage methodology for building optimal portfolios in environments of high complexity, where the number of assets is comparable to or larger than the number of observations. Our universal portfolio shrinkage approximator (UPSA) is given in closed form, is easy to implement, and improves upon existing shrinkage methods. It exhibits an explicit two-fund separation, complementing the Markowitz portfolio with an optimal complexity correction. UPSA does not annihilate the low-variance principal components (PCs) of returns; instead, it optimally reweighs them and produces a stochastic discount factor that substantially improves on its feasible PC-sparse counterparts.",Asset Pricing,"Econometrics, Estimation Methods, Financial Economics, Financial Markets, Portfolio Selection and Asset Pricing",1,0
32007,2024-01-01,The Informational Centrality of Banks,"Nathan Foley-Fisher, Gary B. Gorton, Stéphane Verani","The equity and debt prices of large nonbank firms contain information about the future state of the banking system. In this sense, banks are informationally central. The amount of this information varies over time and over equity and debt. During a financial crisis banks are, by definition of a crisis, at risk of failure. Debt prices became about 50 percent more informative than equity prices about the future state of the banking system during the financial crisis of 2007-2009. This was partly due to investors’ fears that banks might not be able to refinance their debt.",Asset Pricing,"Financial Economics, Financial Institutions",1,0
32011,2024-01-01,Firms and Worker Health,"Alexander Ahammer, Analisa Packham, Jonathan Smith","We estimate the role of firms in worker health care utilization. Using linked administrative data on Austrian workers from 1998-2018, we exploit mobility between firms to estimate how much a firm contributes to worker-level differences in utilization in a setting with non-employer provided universal health care. We find that firms are responsible for nearly 30 percent of the variation in across-worker health care expenditures. Effects are not driven by changes in geography or industry. We then estimate a measure of relative firm-specific utilization and explore existing correlates to help explain these effects.",Children and Families,"Public Economics, National Fiscal Issues, Health, Education, and Welfare, Health",0,1
32016,2024-01-08,"The Rise of Factor Investing: ""Passive"" Security Design and Market Implications","Lin William Cong, Shiyang Huang, Douglas Xu","We model financial innovations such as Exchange-Traded Funds, smart beta products, and many index-based vehicles as composite securities (CSs) that facilitate trading the common factors in assets' liquidation values. Through accessing a larger basket of assets in endogenously chosen proportions, CSs reduce investors' duplication of effort in trading multiple securities and attract more factor investors. We characterize analytically how competitive CS designers in equilibrium optimally select liquid underlying assets representative of the factors and find corroborating evidence in ETF data. CS trading entails investors' strategic and active decisions, consequently impounding more systematic information into prices. Their rise creates leads to greater informational efficiency, price variability, and co-movements in the underlying asset markets, as well as potentially heterogeneous effects on liquidity and asset-specific information acquisition/incorporation, depending on the importance of factors for asset value. The predictions explain and reconcile the rich (and often mixed) empirical observations about various types of CSs in the extant literature.",Asset Pricing,"Microeconomics, Market Structure and Distribution, Economics of Information, Financial Economics, Portfolio Selection and Asset Pricing, Financial Markets, Financial Institutions",1,0
32026,2024-01-08,(Almost) 200 Years of News-Based Economic Sentiment,"Jules H. van Binsbergen, Svetlana Bryzgalova, Mayukh Mukhopadhyay, Varun Sharma","Using text from 200 million pages of 13,000 US local newspapers and machine learning methods, we construct a 170-year-long measure of economic sentiment at the country and state levels, that expands existing measures in both the time series (by more than a century) and the cross-section. Our measure predicts GDP (both nationally and locally), consumption, and employment growth, even after controlling for commonly-used predictors, as well as monetary policy decisions. Our measure is distinct from the information in expert forecasts and leads its consensus value. Interestingly, news coverage has become increasingly negative across all states in the past half-century.",Asset Pricing,"Macroeconomics, Consumption and Investment, Business Cycles, Money and Interest Rates, Financial Economics, Financial Markets, Behavioral Finance",1,0
32032,2024-01-15,The Role of Friends in the Opioid Epidemic,"Effrosyni Adamopoulou, Jeremy Greenwood, Nezih Guner, Karen Kopecky","The role of friends in the US opioid epidemic is examined. Using data from the National Longitudinal Survey of Adolescent Health (Add Health), adults aged 25-34 and their high school best friends are focused on. An instrumental variable technique is employed to estimate peer effects in opioid misuse. Severe injuries in the previous year are used as an instrument for opioid misuse in order to estimate the causal impact of someone misusing opioids on the probability that their best friends also misuse. The estimated peer effects are significant: Having a best friend with a reported serious injury in the previous year increases the probability of own opioid misuse by around 7 percentage points in a population where 17 percent ever misuses opioids. The effect is driven by individuals without a college degree and those who live in the same county as their best friends.",Children and Families,"Econometrics, Estimation Methods, Microeconomics, Households and Firms, Health, Education, and Welfare, Health, Labor Economics, Demography and Aging",0,1
32039,2024-01-15,A Scalable Approach to High-Impact Tutoring for Young Readers: Results of a Randomized Controlled Trial,"Kalena Cortes, Karen Kortecamp, Susanna Loeb, Carly Robinson","This paper presents the results from a randomized controlled trial of Chapter One, an early elementary reading tutoring program that embeds part-time tutors into the classroom to provide short bursts of 1:1 instruction. Eligible kindergarten students were randomly assigned to receive supplementary tutoring during the 2021-22 school year (N=818). The study occurred in a large Southeastern district serving predominantly Black and Hispanic students. Students assigned to the program were over two times more likely to reach the program’s target reading level by the end of kindergarten (70% vs. 32%). The results were largely homogenous across student populations and extended to district-administered assessments. These findings provide promising evidence of an affordable and sustainable approach for delivering personalized reading tutoring at scale.",Children and Families,"Health, Education, and Welfare, Education",0,1
32045,2024-01-15,The Impact of Comprehensive Student Support on Crime: Evidence from the Pathways to Education Program,"Adam M. Lavecchia, Philip Oreopoulos, Noah Spencer","This study finds substantial reductions to criminal activity from the introduction of a comprehensive high school support program for disadvantaged youth living in the largest public housing project in Toronto. The program, called Pathways to Education, bundles supports such as regular coaching, tutoring, group activities, free public transportation tickets and bursaries for postsecondary education. In this paper, we use a difference-in-differences approach that compares students living in public housing communities where the program was offered to those living in communities where the program was not offered over time. We find that eligibility for Pathways reduces the likelihood of being charged with a crime by 32 percent at its Regent Park location. This effect is driven by a reduction in charges for breaking and entering, theft, mischief, other traffic offenses and Youth Criminal Justice Act offenses.",Children and Families,"Health, Education, and Welfare, Education, Poverty and Wellbeing",0,1
