isocode,pc_gdp,gender_index,population,pop_density,pct_u14,pct_65plus,inflation,electricity,pct_urban,short_name,wb_region,inc_group,precipitation,infant_mort,life_exp,energy_use,pc_co2,trade,pct_tropical,temperature
ALB,13696.5339985413,91.25,2866376,104.612262773723,18.0052663384505,13.739521828078,2.02805963071136,100,60.319,Albania,Europe & Central Asia,Upper middle income,1485,7.6,78.358,762.287986301806,3.03394692198397,71.2794476606014,0.3593177499296619,11.05608321348921
DZA,13727.1266357859,57.5,42505035,17.846203680417,30.3410419495008,5.61800854886956,4.26999020467084,99.6,72.629,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,89,21.9,75.159,1414.49702064392,5.90170863830007,53.2046225904145,1,16.46676423040871
AGO,7347.79993635052,73.125,31297155,25.1039985561883,45.1972407715653,2.69303871230468,19.6289379701521,45.3,65.514,Angola,Sub-Saharan Africa,Lower middle income,1010,51.1,61.042,517.525209417242,2.90416885581749,62.8885160890192,1,20.44588043078357
ARM,12877.4937543553,85,2969000,104.285212504391,20.4515725191837,11.7116892663124,2.52023382001638,99.9,63.149,Armenia,Europe & Central Asia,Upper middle income,562,12.8,74.8707317073171,1084.52062940136,2.93679691140252,71.6820743427575,0.024724411370179864,7.507083727661582
AUS,50183.6898127634,96.875,24963258,3.24534491589985,18.7618242578521,15.6409676060892,1.91140094445691,100,86.012,Australia,East Asia & Pacific,High income,534,3.3,82.4,5318.66679266228,25.2795820623913,41.6639319280984,1,19.998020237284223
AUT,56636.4953030542,94.375,8840521,107.131858943286,14.4299641791993,18.7625828458159,1.9983798142954,100,58.297,Austria,Europe & Central Asia,High income,1110,3.1,81.190243902439,3795.51037374619,9.50729627399959,103.11758174626,0.0012255100369607654,9.313429326564277
AZE,15282.9995232298,78.75,9939771,120.25759188908,23.7619094314226,6.3688767423245,2.26854690373999,100,55.68,Azerbaijan,Europe & Central Asia,Upper middle income,447,21.1,72.349,1510.91856857889,5.53024294612451,72.6015079073189,0.9609690069730401,17.450769005034974
BHR,51993.1307818652,40,1503091,1931.99357326478,19.8433119628372,2.77238869129833,2.08766938046978,100,89.287,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,83,6.3,80.338,10405.6390717453,43.0634551587145,147.916060172904,1,21.914953396289697
BGD,5490.15881865179,49.375,163523103,1256.22726434662,29.7445382083272,5.45814402305543,5.54362139486476,86.9,36.632,Bangladesh,South Asia,Lower middle income,2666,30,70.543,237.713163558492,1.43405848367474,42.0859963070382,1,25.386105183715223
BLR,20025.9815543598,75.625,9438785,46.5010592176569,16.8691642464038,15.0511533137392,4.87230220550684,99.3,78.595,Belarus,Europe & Central Asia,Upper middle income,618,3.1,73.6243902439025,2660.14026759548,9.43366272504311,115.914826201946,0,5.248013100774205
BEL,52466.7330784599,100,11427054,374.74351490506,16.9466264692847,18.8086209996758,2.05316499865186,100,98.001,Belgium,Europe & Central Asia,High income,847,3.4,80.9926829268293,4661.53453241131,11.2411297444181,155.068682045926,0,9.363441016705725
BEN,2965.30628143664,74.375,12383347,109.820388435615,43.0653989157617,3.02828051946374,0.919170717886054,39,47.312,Benin,Sub-Saharan Africa,Lower middle income,1039,57,59.123,379.492026672934,1.19739300839448,56.7563131849476,1,26.342908440223063
BOL,8952.58785284444,88.75,11508368,10.6234357980246,31.6221465980233,5.65831749558234,2.27205987230155,92.8,69.425,Bolivia,Latin America & Caribbean,Lower middle income,1146,27.1,67.205,748.85994552389,4.28899366801017,67.9328451905248,1,15.892467676725467
BIH,14858.2798898982,85,3387000,66.15234375,13.8188367286684,18.9760112193682,1.41710814018034,100,48.245,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1028,5.9,77.073,1755.04377103361,7.9064021138307,88.2919898407608,0.02569381045809083,10.81610653295905
BWA,15785.819633781,63.75,2299141,4.05685423393856,33.6297773820744,3.78395670382982,3.23801558947715,68.3,69.446,Botswana,Sub-Saharan Africa,Upper middle income,416,47.2,63.215,1308.13445233238,5.91420128145718,112.900891016005,1,20.230568953335688
BRA,15463.7426393889,81.875,206107261,24.659465024515,21.3525316348572,8.92785021515533,3.66485028376729,99.7,86.569,Brazil,Latin America & Caribbean,Upper middle income,1761,13.7,75.106,1477.71135638764,6.20950537519842,26.95362593736,1,20.732285193263024
BRN,65148.8264520382,53.125,437810,83.0759013282732,22.3246640376694,4.97590847160694,1.02505179290212,100,77.629,Brunei Darussalam,East Asia & Pacific,High income,2722,8.5,74.88,6437.00247398227,23.2658001193713,89.8961883759738,1,25.238009531094843
BGR,24053.2540736361,90.625,6710798,61.816488577745,14.3011088444414,21.1708879702475,2.81454473824829,98.7,75.008,Bulgaria,Europe & Central Asia,High income,608,6.8,74.6146341463415,2637.66768452202,9.14488006901267,126.73664221295,0.08538148241029962,10.885523177535035
BFA,2073.3235382155,82.5,20438288,74.7013450292398,44.8544883015642,2.55480791737547,1.95594302672523,14.4,29.358,Burkina Faso,Sub-Saharan Africa,Low income,748,56.3,58.778,279.219982120516,1.50127650201542,59.0891813101662,1,27.295600544952205
KHM,5616.98087023303,75,16274522,92.196476319963807,31.5280544500187,5.09207597900805,2.45908515380146,80.7,23.388,Cambodia,East Asia & Pacific,Lower middle income,1904,27.7,69.398,379.745573981888,2.36247884643215,122.109596815379,1,26.322341528343163
CMR,4010.76360069526,60,24806383,52.4769583888642,42.8972212514819,2.79116064603211,1.0688581131292,62.2,56.374,Cameroon,Sub-Saharan Africa,Lower middle income,1604,53.2,59.687,402.983607731397,1.66921358984202,45.5401468279393,1,24.96993753839929
CAN,49982.5999118346,97.5,37072620,4.13498944297029,16.0849877885792,17.1296813071885,2.26822567248103,100,81.411,Canada,North America,High income,537,4.7,81.8258536585366,7681.96398709014,21.1711616838864,66.1649020669781,1.5273703265836252e-4,6.692047716060199
TCD,2227.81335372611,66.25,16156531,12.830790184244,48.2481371851463,2.04665537566992,4.27462198610545,10.1,23.059,Chad,Sub-Saharan Africa,Low income,322,72.8,51.32,217.019809756483,4.28368538481437,48.5114982079885,1,26.888279898683358
CHL,25305.0903462611,77.5,18893191,25.4100576706853,19.0082501150811,12.0636582777361,2.43488981353057,100,87.564,Chile,Latin America & Caribbean,High income,1522,6.8,80.008,1968.30286182049,6.44020473608023,59.3491104775309,0.9999964233976883,13.374141930605765
CHN,16298.2050619109,75.625,1402760000,149.417194545073,18.3284745596771,11.5162092042497,2.07479039965576,100,59.152,China,East Asia & Pacific,Upper middle income,645,8.2,76.975,2172.63043957296,9.50741060687316,38.6971848362233,0.26968191712512485,15.156684342679787
COL,15239.4049488277,81.875,49024465,44.1860883280757,22.6839423675104,7.91335297679074,3.24056932930569,98.5,80.778,Colombia,Latin America & Caribbean,Upper middle income,3240,14,76.067,887.262025874734,3.95171252081651,38.3607641184453,1,24.708777336123813
COG,5593.19370578686,49.375,5483118,16.0559824304539,42.0513291889761,2.70147386942977,1.15277896375523,47,66.916,Republic of Congo,Sub-Saharan Africa,Lower middle income,1646,35,63.662,552.356622008088,3.92219368363151,117.320721558581,1,23.674674231867847
CRI,21498.035074686,80,4957818,97.0978848413631,21.4468038157109,9.74221925855286,2.22111461526581,99.7,79.34,Costa Rica,Latin America & Caribbean,High income,2926,7.8,80.407,1024.45144520777,2.98123427004934,60.7535619395756,1,23.333978225150485
CIV,4945.62520575915,78.125,27464173,86.3653238993711,42.3825422011167,2.48160762899374,0.359409031380677,67.1,50.779,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1348,59,58.281,383.892794978009,1.03393988721218,52.7128647411445,1,26.068173678791702
HRV,29788.6686206675,93.75,3988775,71.2739439639768,14.5666392040683,20.6682803013664,1.50012501041756,100,56.947,Croatia,Europe & Central Asia,High income,1113,4.2,77.2756097560976,2018.54259233172,6.08380853741517,90.6409410989512,0.022321574145601195,10.76372855860663
CYP,40924.6171875,91.25,1270737,137.525649350649,15.9248074444958,13.1664879646662,1.43549119531759,100,66.81,Cyprus,Europe & Central Asia,High income,498,2.4,81.464,1677.40248205105,6.85993134902608,137.276426477193,0.9184031126336893,14.171445000830586
CZE,41638.1831076596,93.75,10629928,137.675534257221,15.7768550518408,19.5315793430182,2.14949494949493,100,73.792,Czechia,Europe & Central Asia,High income,677,2.6,78.5780487804878,3982.18836315647,12.6587951006153,154.018400997633,0,8.07351551205492
DNK,57233.6231685618,100,5793636,144.8409,16.552020172513,19.4403886413888,0.813609467455631,100,87.874,Denmark,Europe & Central Asia,High income,703,3.5,80.7024390243902,2848.24005833514,8.6487986328102,105.130362453899,0,9.189962387084995
DOM,17994.8382742736,86.25,10782053,223.18470296005,28.2130950286975,6.35280190364479,3.56443426013508,98.9,81.074,Dominican Republic,Latin America & Caribbean,Upper middle income,1410,31.2,72.982,797.923170664734,3.65070668623319,52.3471238667007,0.994829974767854,16.97047536379472
ECU,12186.8846084388,89.375,17049547,68.6485223063295,27.40143850747,7.19452567257434,-0.224103246005552,98.7,63.821,Ecuador,Latin America & Caribbean,Upper middle income,2274,12.9,76.222,936.659126017204,4.41222840579176,47.8280397077826,1,17.310654481416325
EGY,12329.2446781436,45,105682094,106.165145411623,33.9830711245326,4.47225716625305,14.4014657807422,100,42.704,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,18.1,21.2,70.135,809.491449214396,3.23500199433033,34.8459429600229,0.9995340366042619,22.41912820188676
SLV,9203.76216310773,88.75,6219807,300.183735521236,27.0434896899944,7.49958097577779,1.09033000581892,97,72.023,El Salvador,Latin America & Caribbean,Upper middle income,1784,12.5,70.952,674.353996656659,1.91449228581834,76.5602707370519,1,20.208497600298852
GNQ,18413.1294204577,51.875,1616422,57.6264527629233,38.1591873904216,3.39134829889719,1.06007410662171,66.5,72.143,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2156,63.4,60.635,1329.54186375437,9.82046504526031,98.8780591680756,1,24.892007498413278
EST,37120.9879761677,97.5,1321977,30.9234385964912,16.3638660493531,19.6754905294355,3.43632688420446,100,68.88,Estonia,Europe & Central Asia,High income,626,2.5,77.590243902439,3695.11919135189,18.1828894022915,148.507157123558,0,11.03740635833916
