wb_country,isocode,wb_region,pc_gdp,log_gdp,mean_edu
Algeria,DZA,Middle East and North Africa,4497.861364832,8.411357310530708,6.68
Benin,BEN,Sub-Saharan Africa,962.816109497413,6.869862437693964,4.43
Botswana,BWA,Sub-Saharan Africa,5428.29615842458,8.599380580708903,9.55
Burundi,BDI,Sub-Saharan Africa,297.79172709311,5.6963943397871715,3.35
Cameroon,CMR,Sub-Saharan Africa,1277.26569342146,7.15247689501854,6.15
Central African Republic,CAF,Sub-Saharan Africa,500.529277355033,6.215666093258291,3.76
"Congo, Rep.",COG,Sub-Saharan Africa,2345.1114072464,7.7600881881725305,5.94
"Egypt, Arab Rep.",EGY,Middle East and North Africa,3305.88324715313,8.10345896231669,7.15
Gabon,GAB,Sub-Saharan Africa,6514.7311629822,8.781821224391694,8.39
"Gambia, The",GMB,Sub-Saharan Africa,697.162567788712,6.547018622859607,3.77
Ghana,GHA,Sub-Saharan Africa,1374.98503388049,7.226198125590883,7
Cote d'Ivoire,CIV,Sub-Saharan Africa,1640.31503436099,7.4026435964930855,4.65
Kenya,KEN,Sub-Saharan Africa,1342.76870217303,7.202488956949997,6.14
Lesotho,LSO,Sub-Saharan Africa,982.196851492105,6.889791748033019,5.85
Liberia,LBR,Sub-Saharan Africa,627.805378599434,6.442230211748398,4.2
Malawi,MWI,Sub-Saharan Africa,511.818289897155,6.237969659502076,4.81
Mali,MLI,Sub-Saharan Africa,708.930473940785,6.563757459580963,1.97
Mauritania,MRT,Sub-Saharan Africa,1448.0233220059,7.277954679173622,4.53
Mauritius,MUS,Sub-Saharan Africa,8011.45517219702,8.98862769300034,8.86
Morocco,MAR,Middle East and North Africa,2766.921875,7.925490744838269,4.96
Mozambique,MOZ,Sub-Saharan Africa,492.567572391021,6.199631654025105,1.93
Niger,NER,Sub-Saharan Africa,438.463882743882,6.083277442955666,1.88
Rwanda,RWA,Sub-Saharan Africa,583.85359435356,6.369650256799014,4.36
Senegal,SEN,Sub-Saharan Africa,1163.22758829564,7.058953824083658,2.74
Sierra Leone,SLE,Sub-Saharan Africa,537.378976443652,6.286703574544642,4.23
South Africa,ZAF,Sub-Saharan Africa,6018.23075370279,8.702548600373591,9.69
Sudan,SDN,Sub-Saharan Africa,1362.701171875,7.217224164720915,3.21
Eswatini,SWZ,Sub-Saharan Africa,3199.05354215576,8.070610276963489,5.06
Tanzania,TZA,Sub-Saharan Africa,795.046020507813,6.6784000004101305,5.81
Togo,TGO,Sub-Saharan Africa,660.328525969819,6.4927374777967,5.49
Tunisia,TUN,Middle East and North Africa,3860.62285789953,8.258583811591542,7.48
Uganda,UGA,Sub-Saharan Africa,769.790370056701,6.646118231102266,5.7
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,393.02745089116,5.973879459025719,3.66
Zambia,ZMB,Sub-Saharan Africa,1198.30481681425,7.088663184386851,7.32
Zimbabwe,ZWE,Sub-Saharan Africa,1096.83547804464,7.00018447459279,7.61
Barbados,BRB,Latin America and the Caribbean,17251.3698330567,9.755646829918632,9.45
Canada,CAN,Advanced Economies,41164.3399062659,10.62532762428915,12.32
Costa Rica,CRI,Latin America and the Caribbean,10137.5821702895,9.22400480396808,7.97
Dominican Republic,DOM,Latin America and the Caribbean,5724.30729059668,8.65247682382599,7.78
El Salvador,SLV,Latin America and the Caribbean,3373.04381097889,8.123570823705103,7.77
Guatemala,GTM,Latin America and the Caribbean,3606.4234821491,8.190471835067909,4.57
Haiti,HTI,Latin America and the Caribbean,1312.28484718294,7.179525055072595,5.11
Honduras,HND,Latin America and the Caribbean,2087.25227072168,7.64360377697467,6.19
Jamaica,JAM,Latin America and the Caribbean,5025.49351487106,8.522278940019442,9.87
Mexico,MEX,Latin America and the Caribbean,9480.13530830982,9.156953868175671,8.79
Nicaragua,NIC,Latin America and the Caribbean,1669.94471773256,7.420545801708724,6.61
Panama,PAN,Latin America and the Caribbean,10286.2031072243,9.238558772127108,9.27
Trinidad and Tobago,TTO,Latin America and the Caribbean,16766.9366446594,9.727164169357245,10.63
United States,USA,Advanced Economies,52821.4047643404,10.874671780808727,13.18
Argentina,ARG,Latin America and the Caribbean,13551.3391940229,9.514240654931363,9.51
Bolivia,BOL,Latin America and the Caribbean,2471.47363280645,7.812569864191804,8.25
